node_id,acct,domain,degree,clustering,pagerank,avg_neighbor_degree
106568336162842708,machinelearning,mastodon.social,1,0,0.0035263162532682664,2.0
466282,Techcrunch,mastodon.social,2,0,0.0063609936580025705,1.5
109310582157669913,TedUnderwood@sigmoid.social,sigmoid.social,1,0,0.004226226107112851,2.0
112410769390923651,betinioheleno@me.dm,me.dm,1,0,0.00548998078506725,1.0
110209382556951765,cristopherfreitas@me.dm,me.dm,1,0,0.00548998078506725,1.0
109512352294413409,cristophersfr,mastodon.social,2,0,0.005973923639928312,2.0
108290573442688697,ericchereau,mastodon.social,2,0,0.005760354321662341,2.0
109241814031202593,ehrlinger,mastodon.social,2,0,0.005639648399480079,2.0
17373,katchwreck,mastodon.social,2,0,0.005574080450441165,2.0
115249419711571690,hridiukani,mastodon.social,2,0,0.005536120562710296,2.0
115089538973889362,alvasync,mastodon.social,2,0,0.005516236186813626,2.0
114109878487078563,evnwdvs,mastodon.social,2,0,0.0055041102368257626,2.0
114262412004999232,ared349,mastodon.social,2,0,0.00549821962213033,2.0
114146540975738872,codexring,mastodon.social,2,0,0.005494253496066643,2.0
114089012055430609,aldoraine,mastodon.social,2,0,0.0054925777974495155,2.0
1201113,vd_m,mastodon.social,2,0,0.005491245270767909,2.0
113937688324813242,darlinclem@infosec.exchange,infosec.exchange,1,0,0.00369148252926326,2.0
113564163294563553,tunji,mastodon.social,2,0,0.005490798632439051,2.0
113540648331156718,j0t48,mastodon.social,2,0,0.005490342587160252,2.0
111461683767803566,remilio,mastodon.social,2,0,0.00549023489168557,2.0
111075665817440599,wolfstar76@hachyderm.io,hachyderm.io,1,0,0.00369148252926326,2.0
110202076640151146,proxy@misskey.art,misskey.art,1,0,0.00548998078506725,1.0
113080048114789891,kimby@misskey.art,misskey.art,1,0,0.00548998078506725,1.0
109839362806379658,ny4ramrp,mastodon.social,2,0,0.005490079379660902,2.0
110186415993779749,jorge@social.bakunin.nohost.me,social.bakunin.nohost.me,0,0,0.000823497117760088,0.0
112396258678761329,phemz0,mastodon.social,2,0,0.005490057172777841,2.0
107537743192275948,fhblf,mastodon.social,2,0,0.00549000593720854,2.0
112413268297098956,kir0ul@sigmoid.social,sigmoid.social,2,0,0.008017490140976058,1.0
191308,kir0ul@mastodon.zaclys.com,mastodon.zaclys.com,0,0,0.000823497117760088,0.0
111794970557834988,altinhoxha,mastodon.social,2,0,0.0054900024729390645,2.0
111720197563788258,thebluehunter@infosec.exchange,infosec.exchange,2,0,0.0067537354630216526,1.5
110674062271339016,filipzamorsky,mastodon.social,2,0,0.005489986679147227,2.0
110731018082807836,arman@mastodon.nu,mastodon.nu,0,0,0.000823497117760088,0.0
111609078134887957,blackrosewhitewulf,mastodon.social,2,0,0.005489986452376932,2.0
110409650171151990,valentebruno,mastodon.social,2,0,0.005489982028023128,2.0
108131746904364667,Shortmaier,mastodon.social,2,0,0.005489982113223169,2.0
111345077324768720,codeespresso,mastodon.social,2,0,0.005489981015647415,2.0
109326415611965441,horatiupopovici@mas.to,mas.to,1,0,0.004226226107112851,2.0
110129807492588175,bitcodavid@hachyderm.io,hachyderm.io,2,0,0.0067537354630216526,1.5
110354214649252667,gromsum,mastodon.social,2,0,0.005489981057007165,2.0
110769831355713342,Cestlheuredu4heures,mastodon.social,2,0,0.0054899808217162924,2.0
110766961983485266,Ffraxic,mastodon.social,2,0,0.00548998083236406,2.0
110667341114696688,sconesfortea,mastodon.social,2,0,0.005489980789897267,2.0
110652824289488454,gabohar,mastodon.social,2,0,0.005489980791825581,2.0
109302779234360491,jose87,mastodon.social,2,0,0.005489980785572133,2.0
109824254131337909,vfnb3A8,mastodon.social,2,0,0.005489980785826284,2.0
110537182327606711,szh,mastodon.social,2,0,0.005489980785106385,2.0
109286951501582812,joshbressers@infosec.exchange,infosec.exchange,2,0,0.006559467940766431,2.0
